수리일자,고장내용,고장부품,불량유형,조치내용
2022-02-23,F/P 기능상실 PLC 확인 및 클램프 감지센샤 조정,F/P 기능상실 PLC,클램프 감지센샤,조정
2022-04-06,와이어 전진동작이상 점검 중 정상 작동됨,와이어,전진동작이상,점검 중 정상 작동됨
2021-02-20,클램프기동이상 오일보충 에어 제거,클램프,기동이상,"오일보충, 에어 제거"
2021-02-26,피이더 조작판 매입 콘센트 고정,피이더 조작판 매입 콘센트,고정,
2021-04-13,QDC 파손 클램프 교체,QDC,파손,클램프 교체
2021-07-30,광세샤 고정블록 볼트 마모 600ton 것으로 대체,광세샤 고정블록 볼트,마모,600ton 것으로 대체
2022-07-12,휠 회전 작동불량 점검 세기정공 AS 요청,휠,회전 작동불량,세기정공 AS 요청
2022-07-13,클러치 ASS'Y 작동이상 분해출문(세기정공),클러치 ASS'Y,작동이상,분해출문(세기정공)
2022-07-18,클러치 assy 불량으로 전자접촉기교체,클러치 assy,불량,전자접촉기교체
2022-07-18,클러치 밋션 기어오일보출 ATF-3,클러치 밋션,기어오일보출,ATF-3
2022-08-11,휨 가지센서 단선 교체,휨 가지센서,단선,교체
2022-09-13,"안전1행정 타발정지위치이상 리미트캠스위치교체및조정,상사점리미트스위치교체",안전1행정,타발정지위치이상,"리미트캠스위치교체및조정,상사점리미트스위치교체"
2022-10-04,QDC 클램프 기동이상 에어빼기,QDC 클램프,기동이상,에어빼기
2022-10-26,피이더 소재 진입이상 캠 스위치 조정,피이더,소재 진입이상,캠 스위치 조정
2022-11-11,카운터 완료시 정지시점 불량 카운타 각도 조정,카운터,완료시 정지시점 불량,카운타 각도 조정
2022-11-14,NC FEEDER 코일 이송거리 이상 재 셋팅,NC FEEDER 코일,이송거리 이상,재 셋팅
