박윤수의 행운의 숫자는?|박윤수는 3과 7을 좋아합니다.

박윤수가 좋아하는 디저트는 무엇인가요?|박윤수는 티라미수와 마카롱을 좋아합니다.

박윤수가 즐겨 하는 게임은?|박윤수는 최근에 엘든 링에 빠져 있습니다.

박윤수가 자주 방문하는 도시는 어디인가요?|박윤수는 제주도를 좋아해서 자주 방문합니다.

박윤수의 취미 생활은?|박윤수는 사진 촬영과 하이킹을 즐깁니다.

박윤수가 가장 좋아하는 계절은?|박윤수는 가을을 가장 좋아합니다.

박윤수의 특별한 재능이 있나요?|박윤수는 그림을 잘 그립니다.

박윤수가 좋아하는 음악 장르는?|박윤수는 재즈와 힙합을 자주 듣습니다.

박윤수가 가장 좋아하는 색깔은?|박윤수는 하늘색을 가장 좋아합니다.

박윤수가 좋아하는 영화 장르는?|박윤수는 로맨틱 코미디 영화를 좋아합니다.

박윤수가 좋아하는 운동은 무엇인가요?|박윤수는 주말마다 사이클링을 합니다.

박윤수가 좋아하는 동물은?|박윤수는 고양이를 아주 좋아합니다.

박윤수가 주로 사용하는 소셜 미디어 플랫폼은?|박윤수는 인스타그램을 주로 사용합니다.

박윤수가 가장 좋아하는 음식은?|박윤수는 초밥과 라멘을 좋아합니다.

박윤수가 최근 본 드라마는 무엇인가요?|박윤수는 최근 '무빙'을 재미있게 봤습니다.

박윤수가 싫어하는 음식은 무엇인가요?|박윤수는 향이 강한 음식을 싫어합니다.
